CustomerID,Region,Gender,Age,Education Years,Employment Years,Job Category,Retired,Marital Status,Household Size,Household Income,umber Pets,Home Owner,Car Ownership,Car Brand,Car Value,Commute Distance,Political Party,Votes,Credit Card,Credit Card Tenure,Active Lifestyle,TV Watching Hours,Streaming Svcs,Wireless Internet,Smart Phone,Twitter Acct,LinkedIn Acct,Facebook Acct,News Subscriber,Coupon Redemption,Brand Tenure Months,Monthly Spend ProductA,Cumulative Spend ProductA,Monthly Spend ProductB,Cumulative Spend ProductB,Monthly Spend ProductC,Cumulative Spend ProductC,Total Avg Monthly Spend,High Value Customer
0017-SYHARA-8BI,1,Male,50,20,15,Agriculture,No,Married,4,"$228,000.00",2,1,Own,Domestic,"$77,700",25,Yes,Yes,Disc,19,No,22,Yes,No,No,No,No,Yes,No,0,38,$24.00,$171.64,$159.20,"$1,257.60",$0.00,$0.00,$183.20,0
0022-QFOJNN-XSH,3,Male,39,13,4,Sales,No,Married,3,"$84,000.00",10,1,Own,Domestic,"$22,900",31,No,No,Mast,2,No,24,Yes,Yes,Yes,Yes,Yes,No,No,0,3,$16.80,$11.24,$128.40,$50.84,$110.00,$38.28,$255.20,0
0022-UFDRNE-TAW,5,Male,28,19,0,Sales,No,Unmarried,3,"$84,000.00",9,0,Own,Domestic,"$23,400",29,No,Yes,Visa,5,Yes,10,Yes,Yes,No,Yes,Yes,Yes,No,0,14,$24.80,$67.80,$129.60,$346.64,$105.00,$333.54,$259.40,0
0023-SFNINN-16J,3,Female,68,15,12,Crafts,Yes,Unmarried,1,"$18,000.00",0,0,Lease,Foreign,"$3,500",40,Yes,Yes,Disc,30,No,0,No,No,No,No,No,Yes,Yes,1,63,$93.60,"$1,205.40",$0.00,$0.00,$0.00,$0.00,$93.60,0
0023-WKLZQN-M6X,5,Female,35,17,2,Sales,No,Married,2,"$102,000.00",2,0,Own,Domestic,"$26,100",20,No,No,Visa,1,Yes,18,No,Yes,Yes,No,Yes,Yes,No,1,2,$10.80,$4.56,$0.00,$0.00,$130.75,$42.30,$141.55,0
0024-UQUVXG-79W,1,Male,26,21,0,Sales,No,Married,3,"$125,000.00",2,1,Own,Foreign,"$42,600",25,No,No,AMEX,5,Yes,16,Yes,Yes,Yes,Yes,Yes,Yes,No,0,9,$20.60,$47.04,$252.20,$379.80,$399.75,$790.08,$672.55,1
0026-GRFYZR-6M4,3,Female,60,8,12,Sales,No,Married,2,"$92,000.00",0,1,Lease,Foreign,"$21,400",27,Yes,No,Visa,30,No,20,No,No,No,Yes,Yes,No,Yes,0,62,$69.00,$794.04,$0.00,$0.00,$0.00,$0.00,$69.00,0
0030-BUXRDA-LRX,3,Female,52,12,25,Agriculture,No,Married,2,"$114,000.00",5,0,Own,Domestic,"$42,600",23,Yes,Yes,Mast,29,No,23,No,No,No,No,Yes,No,Yes,0,65,$132.00,"$1,737.08",$0.00,$0.00,$0.00,$0.00,$132.00,0
0030-HAVPBZ-2V8,4,Female,77,13,42,Agriculture,Yes,Married,2,"$48,000.00",3,0,Own,Foreign,"$13,100",15,No,No,Mast,40,No,16,Yes,No,No,No,No,Yes,Yes,0,72,$162.00,"$2,276.56",$129.20,"$1,804.56",$0.00,$0.00,$291.20,1
0030-LPYZKX-CUL,5,Female,27,16,2,Labor,No,Married,2,"$92,000.00",7,1,Own,Domestic,"$24,300",26,No,Yes,AMEX,9,Yes,30,No,No,No,Yes,Yes,No,Yes,0,19,$34.20,$135.36,$0.00,$0.00,$0.00,$0.00,$34.20,0
0031-DMPSUG-NZ2,1,Male,21,15,0,Crafts,No,Unmarried,2,"$40,000.00",4,1,Own,Domestic,"$10,800",24,Yes,Yes,Mast,3,Yes,26,No,Yes,No,No,Yes,No,No,0,11,$45.60,$96.04,$0.00,$0.00,$90.25,$217.08,$135.85,0
0031-EYRVUV-U32,3,Male,46,13,8,Professional,No,Married,4,"$60,000.00",8,0,Own,Domestic,"$15,200",26,No,Yes,Mast,17,Yes,21,No,No,No,No,No,No,Yes,0,37,$33.60,$228.20,$0.00,$0.00,$0.00,$0.00,$33.60,0
0031-PLCHXI-LOA,3,Male,27,18,0,Sales,No,Unmarried,1,"$42,000.00",16,1,NoCar,N/A,$0,37,Yes,No,Visa,9,Yes,19,No,No,Yes,Yes,Yes,No,Yes,0,35,$22.40,$155.12,$0.00,$0.00,$0.00,$0.00,$22.40,0
0031-UJQGML-YHK,3,Male,50,13,2,Sales,No,Married,3,"$58,000.00",2,0,Own,Foreign,"$14,600",29,No,Yes,Disc,8,Yes,21,No,No,No,No,No,No,No,0,21,$47.80,$202.76,$0.00,$0.00,$0.00,$0.00,$47.80,0
0032-AKTRIG-C0N,1,Male,44,19,6,Professional,No,Married,3,"$120,000.00",2,1,Own,Domestic,"$65,100",9,No,No,Disc,26,No,15,No,No,No,Yes,Yes,Yes,Yes,1,61,$76.40,$974.20,$0.00,$0.00,$0.00,$0.00,$76.40,0
0034-EFPVBU-CUF,5,Male,78,12,15,Sales,Yes,Married,2,"$32,000.00",6,1,Lease,Domestic,"$9,300",31,No,No,Disc,38,No,22,No,No,No,No,No,No,Yes,0,71,$83.60,"$1,144.80",$0.00,$0.00,$0.00,$0.00,$83.60,0
0037-VHZRCO-JXT,5,Female,73,10,9,Sales,Yes,Married,2,"$28,000.00",1,1,Own,Domestic,"$6,600",27,No,Yes,Disc,37,No,22,No,No,No,No,No,No,Yes,0,72,$83.00,"$1,215.20",$0.00,$0.00,$0.00,$0.00,$83.00,0
0038-LEEHSR-PWO,3,Male,53,19,10,Professional,No,Unmarried,1,"$172,000.00",4,1,NoCar,N/A,$0,21,Yes,Yes,Disc,30,No,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,66,$34.60,$487.00,$196.40,"$2,582.56",$365.50,"$5,771.28",$596.50,1
0043-WEGFXZ-ZJ2,1,Female,77,15,32,Crafts,Yes,Unmarried,1,"$96,000.00",3,1,Own,Domestic,"$21,900",30,No,Yes,Othe,40,Yes,27,No,Yes,No,Yes,Yes,No,Yes,0,72,$95.80,"$1,430.60",$0.00,$0.00,$137.50,"$2,232.60",$233.30,0
0044-LVJIBD-G76,4,Female,49,16,6,Professional,No,Unmarried,1,"$100,000.00",3,0,Own,Foreign,"$25,000",28,Yes,No,Disc,15,No,21,No,No,No,No,Yes,No,Yes,1,25,$31.60,$147.56,$0.00,$0.00,$0.00,$0.00,$31.60,0
0045-CSRFAS-QBU,2,Female,38,11,5,Professional,No,Married,4,"$170,000.00",6,1,Own,Foreign,"$46,900",31,No,Yes,Mast,18,No,28,No,No,No,No,No,No,Yes,0,43,$43.40,$360.92,$0.00,$0.00,$0.00,$0.00,$43.40,0
0045-ZIMFJC-1BM,5,Female,59,9,9,Professional,No,Married,2,"$94,000.00",5,1,Own,Domestic,"$28,300",38,No,Yes,Visa,19,No,16,No,No,No,No,No,No,No,1,45,$25.00,$227.28,$0.00,$0.00,$0.00,$0.00,$25.00,0
0046-IBWRNV-OP7,4,Male,39,15,3,Sales,No,Married,4,"$56,000.00",0,1,NoCar,N/A,$0,35,Yes,Yes,AMEX,16,Yes,19,No,No,No,No,Yes,No,No,0,35,$53.80,$380.80,$0.00,$0.00,$0.00,$0.00,$53.80,0
0047-PFHDOH-EWY,5,Female,57,17,19,Service,No,Married,2,"$111,000.00",0,1,Own,Domestic,"$51,500",28,Yes,Yes,Disc,36,No,23,Yes,No,No,No,No,No,Yes,0,70,$105.00,"$1,494.96",$128.80,"$1,772.64",$0.00,$0.00,$233.80,0
0049-BFKAIL-TVF,3,Male,27,17,2,Service,No,Unmarried,1,"$135,000.00",1,1,Own,Foreign,"$79,400",21,Yes,Yes,AMEX,7,No,9,Yes,Yes,Yes,Yes,Yes,Yes,No,1,13,$16.20,$34.64,$155.00,$346.84,$158.50,$430.74,$329.70,1
0049-WQQPTR-R0I,4,Male,45,20,8,Professional,No,Married,2,"$112,000.00",2,1,Own,Foreign,"$56,500",30,No,Yes,AMEX,27,No,12,Yes,Yes,Yes,No,Yes,Yes,Yes,0,70,$76.00,"$1,054.88",$201.20,"$2,707.00",$286.50,"$4,812.90",$563.70,1
0049-ZDULPT-RP6,3,Male,25,17,1,Crafts,No,Married,4,"$46,000.00",0,1,Own,Domestic,"$10,200",18,No,No,AMEX,1,No,0,Yes,Yes,No,Yes,No,Yes,No,0,1,$9.00,$1.80,$129.00,$25.80,$122.75,$29.46,$260.75,0
0050-HSYSUA-MX9,1,Male,50,10,5,Sales,No,Married,2,"$102,000.00",13,1,Lease,Foreign,"$21,400",23,No,Yes,Mast,11,No,25,No,No,No,Yes,Yes,No,No,0,23,$47.80,$238.60,$0.00,$0.00,$0.00,$0.00,$47.80,0
0050-JUNHKS-MMD,4,Male,43,18,6,Professional,No,Unmarried,1,"$84,000.00",0,0,Lease,Domestic,"$20,000",22,Yes,No,Othe,3,No,13,No,Yes,No,Yes,Yes,No,No,0,7,$17.80,$24.44,$0.00,$0.00,$102.75,$141.96,$120.55,0
0050-VSGLEA-9NB,4,Male,39,14,5,Sales,No,Unmarried,1,"$132,000.00",2,1,Own,Domestic,"$24,400",19,Yes,Yes,Mast,1,No,20,No,No,Yes,Yes,Yes,No,No,0,4,$10.40,$8.36,$0.00,$0.00,$0.00,$0.00,$10.40,0
0052-JAKAKY-2N2,3,Female,62,13,25,Labor,No,Married,2,"$276,000.00",0,1,Own,Domestic,"$88,800",28,Yes,Yes,Disc,38,No,23,No,Yes,Yes,No,Yes,Yes,Yes,0,71,$93.80,"$1,342.80",$0.00,$0.00,$260.00,"$4,233.00",$353.80,1
0054-HCDCVL-L8L,2,Female,25,15,0,Professional,No,Married,4,"$60,000.00",0,1,Own,Foreign,"$11,700",18,Yes,Yes,Visa,1,No,25,Yes,Yes,Yes,Yes,Yes,Yes,No,0,1,$7.40,$1.48,$147.20,$29.44,$115.75,$27.78,$270.35,0
0054-JUDZVU-3JR,3,Male,28,9,2,Sales,No,Married,4,"$40,000.00",0,1,NoCar,N/A,$0,29,No,No,Disc,7,No,18,No,No,No,Yes,Yes,No,No,0,20,$34.20,$118.56,$0.00,$0.00,$0.00,$0.00,$34.20,0
0054-RUKLRZ-LM2,2,Female,34,13,0,Sales,No,Married,4,"$66,000.00",1,1,Lease,Domestic,"$19,700",22,No,Yes,Mast,16,Yes,29,Yes,No,No,Yes,No,No,No,0,57,$41.20,$474.68,$113.00,"$1,334.16",$0.00,$0.00,$154.20,0
0057-EYQWVK-ESK,5,Male,69,18,37,Crafts,Yes,Unmarried,1,"$92,000.00",10,1,Own,Domestic,"$26,600",32,Yes,Yes,Disc,37,No,24,No,No,No,No,Yes,No,Yes,0,67,$50.80,$715.84,$0.00,$0.00,$0.00,$0.00,$50.80,0
0058-NUPJBB-SDR,2,Male,37,9,4,Sales,No,Unmarried,1,"$34,000.00",0,0,Own,Domestic,"$7,800",33,No,No,Visa,9,Yes,20,No,No,No,No,No,No,No,0,20,$14.00,$45.48,$0.00,$0.00,$0.00,$0.00,$14.00,0
0060-IQXKJE-0HJ,2,Male,30,18,3,Professional,No,Unmarried,1,"$44,000.00",0,1,Own,Foreign,"$9,700",20,No,Yes,Mast,11,No,18,Yes,Yes,Yes,Yes,Yes,No,No,1,39,$19.20,$143.44,$129.40,$961.12,$117.50,"$1,132.92",$266.10,0
0061-IUOHXW-6TN,1,Male,36,17,9,Professional,No,Married,4,"$104,000.00",9,1,NoCar,N/A,$0,14,No,No,AMEX,18,No,15,Yes,No,Yes,Yes,Yes,Yes,Yes,0,68,$107.00,"$1,376.84",$166.20,"$2,273.52",$0.00,$0.00,$273.20,0
0063-DWPGGH-D1I,1,Female,35,15,3,Sales,No,Married,3,"$106,000.00",9,1,Own,Domestic,"$23,800",15,Yes,No,Visa,11,Yes,15,Yes,No,Yes,No,No,Yes,No,1,11,$9.80,$13.44,$125.80,$229.32,$0.00,$0.00,$135.60,0
0064-ICJQQF-J5B,2,Female,30,17,4,Service,No,Unmarried,2,"$56,000.00",12,0,Lease,Foreign,"$9,100",37,No,Yes,Visa,13,Yes,19,No,No,No,No,No,No,No,0,27,$27.80,$145.88,$0.00,$0.00,$0.00,$0.00,$27.80,0
0064-NJLGVM-CTR,4,Female,63,16,29,Service,No,Married,4,"$170,000.00",7,1,Own,Foreign,"$78,000",26,No,No,AMEX,38,No,22,No,No,No,No,Yes,No,Yes,0,71,$133.20,"$1,906.92",$0.00,$0.00,$0.00,$0.00,$133.20,0
0064-OBMVYI-GHS,4,Male,60,14,17,Professional,No,Married,2,"$176,000.00",3,1,NoCar,N/A,$0,33,Yes,Yes,Visa,24,No,18,Yes,Yes,Yes,Yes,Yes,No,Yes,0,53,$41.80,$396.44,$222.60,"$2,248.48",$229.25,"$2,862.90",$493.65,1
0066-PXANVZ-DFW,4,Male,69,10,20,Professional,Yes,Married,2,"$30,000.00",2,0,Own,Foreign,"$8,200",29,Yes,Yes,Visa,39,No,22,No,No,No,No,Yes,No,Yes,1,72,$187.00,"$2,696.80",$0.00,$0.00,$0.00,$0.00,$187.00,0
0071-OEBNPX-SOO,4,Female,66,17,29,Service,No,Married,2,"$133,000.00",2,1,Own,Domestic,"$53,000",26,No,No,Disc,39,No,25,No,Yes,Yes,Yes,Yes,Yes,Yes,0,71,$191.80,"$2,899.28",$0.00,$0.00,$194.25,"$3,338.46",$386.05,1
0072-MQVNDV-4KO,5,Male,27,16,0,Sales,No,Married,4,"$58,000.00",2,1,Lease,Domestic,"$13,000",29,No,No,Visa,9,Yes,22,Yes,No,No,No,No,No,No,1,31,$31.20,$201.24,$117.20,$644.04,$0.00,$0.00,$148.40,0
0074-GMQRAF-RL9,2,Female,23,14,0,Sales,No,Unmarried,2,"$32,000.00",4,0,Own,Domestic,"$5,600",34,No,No,Mast,5,Yes,19,No,No,No,No,No,Yes,No,1,22,$37.00,$153.04,$0.00,$0.00,$0.00,$0.00,$37.00,0
0074-IEYMHS-EQ5,1,Male,45,20,10,Agriculture,No,Unmarried,1,"$170,000.00",4,1,Own,Foreign,"$33,300",19,No,Yes,Visa,16,Yes,16,No,Yes,Yes,Yes,Yes,No,Yes,0,18,$30.60,$100.72,$0.00,$0.00,$218.00,$888.60,$248.60,0
0076-HVSWXM-HUQ,3,Male,73,11,30,Labor,Yes,Unmarried,1,"$34,000.00",1,0,Own,Foreign,"$11,600",23,Yes,Yes,Visa,31,Yes,25,No,No,No,Yes,Yes,No,Yes,0,56,$58.80,$659.04,$0.00,$0.00,$0.00,$0.00,$58.80,0
0076-YGZXNR-QMC,5,Male,35,14,4,Professional,No,Unmarried,1,"$44,000.00",1,0,Own,Foreign,"$12,000",29,Yes,No,Disc,4,Yes,22,Yes,Yes,Yes,Yes,Yes,No,No,0,6,$16.20,$13.40,$136.40,$155.56,$129.25,$137.82,$281.85,1
0077-YFKJAV-D91,2,Female,56,18,3,Professional,No,Married,2,"$129,000.00",9,1,Own,Domestic,"$53,700",23,Yes,Yes,Disc,13,No,20,Yes,No,No,No,No,Yes,No,0,40,$24.20,$195.32,$132.80,"$1,011.00",$0.00,$0.00,$157.00,0
0078-GEDTVZ-ZZ6,4,Female,23,18,0,Professional,No,Unmarried,1,"$120,000.00",5,1,Own,Domestic,"$36,200",24,No,No,Disc,4,Yes,25,No,No,Yes,Yes,Yes,No,No,0,9,$36.60,$68.68,$0.00,$0.00,$0.00,$0.00,$36.60,0
0082-NSSEDJ-QLZ,5,Male,34,16,8,Service,No,Unmarried,1,"$100,000.00",7,0,Own,Foreign,"$23,400",19,Yes,No,AMEX,3,Yes,15,Yes,No,No,No,No,Yes,No,0,12,$17.60,$34.24,$103.80,$221.52,$0.00,$0.00,$121.40,0
0086-VMUGHD-VQ4,4,Male,22,17,0,Professional,No,Unmarried,3,"$38,000.00",1,1,Own,Foreign,"$10,000",28,Yes,Yes,Othe,5,Yes,19,No,No,No,Yes,No,No,No,0,10,$10.20,$27.52,$0.00,$0.00,$0.00,$0.00,$10.20,0
0088-EOKODB-ZFH,4,Male,64,18,8,Sales,No,Married,2,"$50,000.00",1,1,Own,Foreign,"$13,400",18,Yes,No,Disc,38,Yes,24,Yes,No,No,No,No,No,Yes,0,72,$153.60,"$2,151.36",$140.80,"$1,939.92",$0.00,$0.00,$294.40,1
0095-KRZMOC-CAZ,5,Male,38,14,9,Labor,No,Married,4,"$106,000.00",0,1,Own,Domestic,"$18,700",27,Yes,Yes,Disc,20,Yes,20,No,Yes,Yes,Yes,Yes,No,No,1,54,$42.20,$445.80,$0.00,$0.00,$285.50,"$3,407.16",$327.70,1
0095-LVHMQG-T94,5,Female,57,12,15,Labor,No,Married,2,"$96,000.00",2,1,Own,Domestic,"$26,500",21,No,No,Visa,26,No,14,No,Yes,No,Yes,Yes,No,No,0,54,$38.40,$427.08,$0.00,$0.00,$135.50,"$1,709.58",$173.90,0
0097-WZJEZS-RAN,2,Male,51,14,18,Labor,No,Unmarried,1,"$187,000.00",0,1,Own,Foreign,"$80,300",31,No,No,AMEX,24,Yes,29,No,Yes,Yes,Yes,Yes,No,Yes,0,46,$47.40,$440.40,$0.00,$0.00,$245.00,"$2,586.48",$292.40,1
0103-YALHYM-GL8,2,Male,60,12,20,Agriculture,Yes,Married,2,"$74,000.00",10,1,Own,Domestic,"$17,900",16,No,No,Visa,30,Yes,31,No,No,No,No,No,No,No,1,55,$36.80,$390.76,$0.00,$0.00,$0.00,$0.00,$36.80,0
0106-WTLOLB-O43,1,Male,52,18,15,Professional,No,Married,5,"$108,000.00",1,1,Own,Domestic,"$32,000",28,No,No,AMEX,34,No,21,No,Yes,Yes,Yes,Yes,No,Yes,0,69,$93.60,"$1,308.76",$0.00,$0.00,$215.25,"$3,504.18",$308.85,1
0107-IFJBTR-1JZ,3,Male,44,17,19,Crafts,No,Unmarried,1,"$123,000.00",0,0,NoCar,N/A,$0,32,Yes,Yes,Mast,21,No,14,No,No,No,No,Yes,Yes,Yes,0,52,$64.00,$658.24,$0.00,$0.00,$0.00,$0.00,$64.00,0
0107-OLGMAK-RDY,4,Male,77,9,38,Crafts,Yes,Married,2,"$68,000.00",0,1,Own,Domestic,"$14,200",19,No,Yes,Visa,40,No,19,No,No,No,Yes,Yes,No,Yes,0,72,$284.80,"$4,106.76",$0.00,$0.00,$0.00,$0.00,$284.80,1
0107-RHRNEN-1SR,3,Male,68,17,1,Sales,No,Unmarried,1,"$82,000.00",6,0,NoCar,N/A,$0,28,No,Yes,Disc,3,No,21,Yes,No,No,Yes,Yes,Yes,No,0,6,$10.00,$11.88,$117.20,$114.00,$0.00,$0.00,$127.20,0
0108-VXMWNR-WG6,5,Male,62,22,13,Labor,No,Unmarried,1,"$224,000.00",8,0,Own,Domestic,"$78,000",18,No,Yes,Mast,25,No,22,Yes,Yes,Yes,Yes,Yes,Yes,No,0,55,$61.60,$656.36,$191.40,"$2,176.76",$163.50,"$2,007.78",$416.50,1
0109-POJOQC-B1R,3,Female,25,20,0,Sales,No,Unmarried,1,"$78,000.00",0,0,Own,Domestic,"$15,900",31,No,No,AMEX,1,No,29,Yes,Yes,Yes,Yes,Yes,Yes,No,0,5,$18.00,$19.44,$160.80,$119.96,$115.00,$94.86,$293.80,1
0110-CJNSND-Y6N,2,Male,23,18,0,Crafts,No,Married,4,"$44,000.00",2,1,Own,Domestic,"$13,600",13,Yes,Yes,Disc,4,Yes,18,No,No,No,No,Yes,Yes,No,0,6,$12.00,$19.32,$0.00,$0.00,$0.00,$0.00,$12.00,0
0110-DOBQFH-3F6,1,Female,18,13,0,Labor,No,Married,4,"$32,000.00",9,1,Own,Foreign,"$7,900",29,Yes,Yes,Mast,0,No,19,No,No,No,No,Yes,No,No,1,7,$11.20,$11.68,$0.00,$0.00,$0.00,$0.00,$11.20,0
0114-BLSPYE-A8B,3,Male,68,10,33,Service,Yes,Unmarried,2,"$74,000.00",5,0,Own,Domestic,"$20,700",35,Yes,Yes,Visa,35,No,14,No,No,No,No,Yes,No,Yes,1,68,$102.80,"$1,412.08",$0.00,$0.00,$0.00,$0.00,$102.80,0
0115-BGCJZG-B08,3,Female,35,17,8,Agriculture,No,Unmarried,2,"$118,000.00",0,0,Own,Domestic,"$24,800",23,Yes,No,Visa,13,Yes,16,Yes,No,No,No,No,No,Yes,0,27,$26.00,$155.56,$93.20,$515.96,$0.00,$0.00,$119.20,0
0118-OUCHII-GSB,1,Female,25,19,0,Sales,No,Unmarried,1,"$36,000.00",0,1,Lease,Foreign,"$8,100",17,No,Yes,Disc,3,Yes,20,Yes,Yes,Yes,Yes,No,No,No,0,6,$14.20,$13.12,$126.20,$94.16,$102.25,$119.58,$242.65,0
0118-ZOCCEU-UHA,1,Male,47,15,7,Sales,No,Married,6,"$146,000.00",1,1,Own,Domestic,"$40,200",24,No,Yes,Disc,22,Yes,25,No,No,No,No,Yes,No,Yes,0,48,$31.20,$309.12,$0.00,$0.00,$0.00,$0.00,$31.20,0
0119-ZUYERZ-58D,4,Female,73,7,26,Labor,Yes,Unmarried,1,"$52,000.00",0,1,Lease,Domestic,"$14,500",21,No,No,Visa,34,No,23,No,No,No,Yes,Yes,No,Yes,0,63,$80.80,$998.84,$0.00,$0.00,$0.00,$0.00,$80.80,0
0120-GCQSYY-BC4,4,Male,75,15,13,Sales,No,Unmarried,1,"$126,000.00",2,0,Own,Foreign,"$27,100",24,Yes,Yes,AMEX,34,No,18,No,No,No,No,No,No,No,1,60,$119.00,"$1,400.12",$0.00,$0.00,$0.00,$0.00,$119.00,0
0120-LNQRIP-L2M,2,Male,23,9,4,Professional,No,Married,3,"$48,000.00",7,0,Own,Foreign,"$12,100",14,No,No,Visa,5,Yes,21,No,No,No,Yes,Yes,No,Yes,0,32,$45.00,$298.20,$0.00,$0.00,$0.00,$0.00,$45.00,0
0121-DXYYZN-UXZ,3,Male,27,17,0,Sales,No,Married,4,"$32,000.00",0,1,Own,Domestic,"$7,400",27,No,No,Mast,9,Yes,19,No,No,No,No,No,Yes,No,0,21,$14.60,$52.76,$0.00,$0.00,$0.00,$0.00,$14.60,0
0123-MKOGIQ-0L8,3,Female,39,16,5,Sales,No,Married,5,"$166,000.00",15,0,Own,Foreign,"$31,000",34,No,No,AMEX,6,Yes,14,Yes,No,No,Yes,No,No,No,1,19,$28.00,$91.44,$112.00,$415.32,$0.00,$0.00,$140.00,0
0123-MVBNGR-7O5,4,Male,76,15,27,Labor,Yes,Unmarried,1,"$88,000.00",0,1,Lease,Domestic,"$16,700",30,No,Yes,Disc,39,No,14,No,No,No,No,No,No,Yes,0,71,$254.40,"$3,609.68",$0.00,$0.00,$0.00,$0.00,$254.40,0
0124-VNHDHV-64B,1,Male,59,13,6,Sales,No,Married,2,"$62,000.00",1,1,NoCar,N/A,$0,22,No,No,Disc,26,No,21,No,Yes,Yes,Yes,Yes,No,Yes,0,57,$32.80,$359.88,$0.00,$0.00,$243.25,"$3,179.28",$276.05,1
0126-NHBDFC-AX5,1,Male,67,12,12,Sales,No,Unmarried,1,"$76,000.00",0,0,Own,Foreign,"$19,600",26,No,Yes,Mast,7,No,16,No,Yes,No,Yes,Yes,No,Yes,0,21,$21.00,$87.52,$0.00,$0.00,$133.75,$645.96,$154.75,0
0127-NJJYNR-WUP,1,Female,60,15,24,Service,No,Married,2,"$191,000.00",4,0,Own,Foreign,"$86,900",28,No,Yes,Visa,19,Yes,19,No,No,No,No,No,No,Yes,0,32,$51.00,$365.76,$0.00,$0.00,$0.00,$0.00,$51.00,0
0130-PMBXHA-JG3,2,Female,20,15,0,Service,No,Married,4,"$30,000.00",8,0,Own,Domestic,"$8,600",28,No,Yes,Visa,2,No,20,No,No,No,Yes,Yes,No,No,0,20,$26.60,$112.16,$0.00,$0.00,$0.00,$0.00,$26.60,0
0132-MBDKOW-6I6,3,Female,69,10,4,Sales,No,Unmarried,1,"$52,000.00",1,0,Own,Domestic,"$17,300",32,No,No,Othe,20,No,29,No,No,No,Yes,Yes,No,No,0,39,$25.20,$178.92,$0.00,$0.00,$0.00,$0.00,$25.20,0
0133-TBTJGH-37J,3,Male,66,14,6,Sales,Yes,Married,2,"$22,000.00",2,1,Own,Foreign,"$8,200",27,No,No,Visa,22,No,18,Yes,No,No,No,No,Yes,No,0,51,$42.20,$423.44,$115.00,"$1,254.08",$0.00,$0.00,$157.20,0
