CustomerID,Region,Gender,Age,Education_Years,Employment_Years,Job_Category,Retired,Marital_Status,Household_Size,Household_Income,Number_Pets,Home_Owner,Car_Ownership,Car_Brand,Car_Value,Commute_Distance,Political_Party,Votes,Credit_Card,Credit_Card_Tenure,Active_Lifestyle,TV_Watching_Hours,Streaming_Svcs,Wireless_Internet,Smart_Phone,Twitter_Acct,LinkedIn_Acct,Facebook_Acct,News_Subscriber,Coupon_Redemption,Brand_Tenure_Months,Monthly_Spend_ProductA,Cumulative_Spend_ProductA,Monthly_Spend_ProductB,Cumulative_Spend_ProductB,Monthly_Spend_ProductC,Cumulative_Spend_ProductC,Total_Avg_Monthly_Spend,High_Value_Customer
0023-SFNINN-16J,3,Female,68,15,12,Crafts,1,Unmarried,1,18000.0,0,0,Lease,Foreign,3500,40,1,1,Disc,30,0,0,0,0,0,0,0,1,1,1,63,93.6,1205.4,0.0,0.0,0.0,0.0,93.6,0
0024-UQUVXG-79W,1,Male,26,21,0,Sales,0,Married,3,125000.0,2,1,Own,Foreign,42600,25,0,0,Amex,5,1,16,1,1,1,1,1,1,0,0,9,20.6,47.04,252.2,379.8,399.75,790.08,672.55,1
0026-GRFYZR-6M4,3,Female,60,8,12,Sales,0,Married,2,92000.0,0,1,Lease,Foreign,21400,27,1,0,Visa,30,0,20,0,0,0,1,1,0,1,0,62,69.0,794.04,0.0,0.0,0.0,0.0,69.0,0
0030-BUXRDA-LRX,3,Female,52,12,25,Agriculture,0,Married,2,114000.0,5,0,Own,Domestic,42600,23,1,1,Mast,29,0,23,0,0,0,0,1,0,1,0,65,132.0,1737.08,0.0,0.0,0.0,0.0,132.0,0
0030-HAVPBZ-2V8,4,Female,77,13,42,Agriculture,1,Married,2,48000.0,3,0,Own,Foreign,13100,15,0,0,Mast,40,0,16,1,0,0,0,0,1,1,0,72,162.0,2276.56,129.2,1804.56,0.0,0.0,291.2,1
0030-LPYZKX-CUL,5,Female,27,16,2,Labor,0,Married,2,92000.0,7,1,Own,Domestic,24300,26,0,1,Amex,9,1,30,0,0,0,1,1,0,1,0,19,34.2,135.36,0.0,0.0,0.0,0.0,34.2,0
0031-DMPSUG-NZ2,1,Male,21,15,0,Crafts,0,Unmarried,2,40000.0,4,1,Own,Domestic,10800,24,1,1,Mast,3,1,26,0,1,0,0,1,0,0,0,11,45.6,96.04,0.0,0.0,90.25,217.08,135.85,0
0031-EYRVUV-U32,3,Male,46,13,8,Professional,0,Married,4,60000.0,8,0,Own,Domestic,15200,26,0,1,Mast,17,1,21,0,0,0,0,0,0,1,0,37,33.6,228.2,0.0,0.0,0.0,0.0,33.6,0
0031-UJQGML-YHK,3,Male,50,13,2,Sales,0,Married,3,58000.0,2,0,Own,Foreign,14600,29,0,1,Disc,8,1,21,0,0,0,0,0,0,0,0,21,47.8,202.76,0.0,0.0,0.0,0.0,47.8,0
0032-AKTRIG-C0N,1,Male,44,19,6,Professional,0,Married,3,120000.0,2,1,Own,Domestic,65100,9,0,0,Disc,26,0,15,0,0,0,1,1,1,1,1,61,76.4,974.2,0.0,0.0,0.0,0.0,76.4,0
0034-EFPVBU-CUF,5,Male,78,12,15,Sales,1,Married,2,32000.0,6,1,Lease,Domestic,9300,31,0,0,Disc,38,0,22,0,0,0,0,0,0,1,0,71,83.6,1144.8,0.0,0.0,0.0,0.0,83.6,0
0037-VHZRCO-JXT,5,Female,73,10,9,Sales,1,Married,2,28000.0,1,1,Own,Domestic,6600,27,0,1,Disc,37,0,22,0,0,0,0,0,0,1,0,72,83.0,1215.2,0.0,0.0,0.0,0.0,83.0,0
0043-WEGFXZ-ZJ2,1,Female,77,15,32,Crafts,1,Unmarried,1,96000.0,3,1,Own,Domestic,21900,30,0,1,Othe,40,1,27,0,1,0,1,1,0,1,0,72,95.8,1430.6,0.0,0.0,137.5,2232.6,233.3,0
0044-LVJIBD-G76,4,Female,49,16,6,Professional,0,Unmarried,1,100000.0,3,0,Own,Foreign,25000,28,1,0,Disc,15,0,21,0,0,0,0,1,0,1,1,25,31.6,147.56,0.0,0.0,0.0,0.0,31.6,0
0045-CSRFAS-QBU,2,Female,38,11,5,Professional,0,Married,4,170000.0,6,1,Own,Foreign,46900,31,0,1,Mast,18,0,28,0,0,0,0,0,0,1,0,43,43.4,360.92,0.0,0.0,0.0,0.0,43.4,0
0045-ZIMFJC-1BM,5,Female,59,9,9,Professional,0,Married,2,94000.0,5,1,Own,Domestic,28300,38,0,1,Visa,19,0,16,0,0,0,0,0,0,0,1,45,25.0,227.28,0.0,0.0,0.0,0.0,25.0,0
0047-PFHDOH-EWY,5,Female,57,17,19,Service,0,Married,2,111000.0,0,1,Own,Domestic,51500,28,1,1,Disc,36,0,23,1,0,0,0,0,0,1,0,70,105.0,1494.96,128.8,1772.64,0.0,0.0,233.8,0
0049-BFKAIL-TVF,3,Male,27,17,2,Service,0,Unmarried,1,135000.0,1,1,Own,Foreign,79400,21,1,1,Amex,7,0,9,1,1,1,1,1,1,0,1,13,16.2,34.64,155.0,346.84,158.5,430.74,329.7,1
0049-WQQPTR-R0I,4,Male,45,20,8,Professional,0,Married,2,112000.0,2,1,Own,Foreign,56500,30,0,1,Amex,27,0,12,1,1,1,0,1,1,1,0,70,76.0,1054.88,201.2,2707.0,286.5,4812.9,563.7,1
0050-HSYSUA-MX9,1,Male,50,10,5,Sales,0,Married,2,102000.0,13,1,Lease,Foreign,21400,23,0,1,Mast,11,0,25,0,0,0,1,1,0,0,0,23,47.8,238.6,0.0,0.0,0.0,0.0,47.8,0
0050-JUNHKS-MMD,4,Male,43,18,6,Professional,0,Unmarried,1,84000.0,0,0,Lease,Domestic,20000,22,1,0,Othe,3,0,13,0,1,0,1,1,0,0,0,7,17.8,24.44,0.0,0.0,102.75,141.96,120.55,0
0052-JAKAKY-2N2,3,Female,62,13,25,Labor,0,Married,2,276000.0,0,1,Own,Domestic,88800,28,1,1,Disc,38,0,23,0,1,1,0,1,1,1,0,71,93.8,1342.8,0.0,0.0,260.0,4233.0,353.8,1
0054-RUKLRZ-LM2,2,Female,34,13,0,Sales,0,Married,4,66000.0,1,1,Lease,Domestic,19700,22,0,1,Mast,16,1,29,1,0,0,1,0,0,0,0,57,41.2,474.68,113.0,1334.16,0.0,0.0,154.2,0
0057-EYQWVK-ESK,5,Male,69,18,37,Crafts,1,Unmarried,1,92000.0,10,1,Own,Domestic,26600,32,1,1,Disc,37,0,24,0,0,0,0,1,0,1,0,67,50.8,715.84,0.0,0.0,0.0,0.0,50.8,0
0058-NUPJBB-SDR,2,Male,37,9,4,Sales,0,Unmarried,1,34000.0,0,0,Own,Domestic,7800,33,0,0,Visa,9,1,20,0,0,0,0,0,0,0,0,20,14.0,45.48,0.0,0.0,0.0,0.0,14.0,0
0060-IQXKJE-0HJ,2,Male,30,18,3,Professional,0,Unmarried,1,44000.0,0,1,Own,Foreign,9700,20,0,1,Mast,11,0,18,1,1,1,1,1,0,0,1,39,19.2,143.44,129.4,961.12,117.5,1132.92,266.1,0
0063-DWPGGH-D1I,1,Female,35,15,3,Sales,0,Married,3,106000.0,9,1,Own,Domestic,23800,15,1,0,Visa,11,1,15,1,0,1,0,0,1,0,1,11,9.8,13.44,125.8,229.32,0.0,0.0,135.6,0
0064-ICJQQF-J5B,2,Female,30,17,4,Service,0,Unmarried,2,56000.0,12,0,Lease,Foreign,9100,37,0,1,Visa,13,1,19,0,0,0,0,0,0,0,0,27,27.8,145.88,0.0,0.0,0.0,0.0,27.8,0
0064-NJLGVM-CTR,4,Female,63,16,29,Service,0,Married,4,170000.0,7,1,Own,Foreign,78000,26,0,0,Amex,38,0,22,0,0,0,0,1,0,1,0,71,133.2,1906.92,0.0,0.0,0.0,0.0,133.2,0
0066-PXANVZ-DFW,4,Male,69,10,20,Professional,1,Married,2,30000.0,2,0,Own,Foreign,8200,29,1,1,Visa,39,0,22,0,0,0,0,1,0,1,1,72,187.0,2696.8,0.0,0.0,0.0,0.0,187.0,0
0071-OEBNPX-SOO,4,Female,66,17,29,Service,0,Married,2,133000.0,2,1,Own,Domestic,53000,26,0,0,Disc,39,0,25,0,1,1,1,1,1,1,0,71,191.8,2899.28,0.0,0.0,194.25,3338.46,386.05,1
0072-MQVNDV-4KO,5,Male,27,16,0,Sales,0,Married,4,58000.0,2,1,Lease,Domestic,13000,29,0,0,Visa,9,1,22,1,0,0,0,0,0,0,1,31,31.2,201.24,117.2,644.04,0.0,0.0,148.4,0
0074-GMQRAF-RL9,2,Female,23,14,0,Sales,0,Unmarried,2,32000.0,4,0,Own,Domestic,5600,34,0,0,Mast,5,1,19,0,0,0,0,0,1,0,1,22,37.0,153.04,0.0,0.0,0.0,0.0,37.0,0
0074-IEYMHS-EQ5,1,Male,45,20,10,Agriculture,0,Unmarried,1,170000.0,4,1,Own,Foreign,33300,19,0,1,Visa,16,1,16,0,1,1,1,1,0,1,0,18,30.6,100.72,0.0,0.0,218.0,888.6,248.6,0
0076-HVSWXM-HUQ,3,Male,73,11,30,Labor,1,Unmarried,1,34000.0,1,0,Own,Foreign,11600,23,1,1,Visa,31,1,25,0,0,0,1,1,0,1,0,56,58.8,659.04,0.0,0.0,0.0,0.0,58.8,0
0077-YFKJAV-D91,2,Female,56,18,3,Professional,0,Married,2,129000.0,9,1,Own,Domestic,53700,23,1,1,Disc,13,0,20,1,0,0,0,0,1,0,0,40,24.2,195.32,132.8,1011.0,0.0,0.0,157.0,0
0078-GEDTVZ-ZZ6,4,Female,23,18,0,Professional,0,Unmarried,1,120000.0,5,1,Own,Domestic,36200,24,0,0,Disc,4,1,25,0,0,1,1,1,0,0,0,9,36.6,68.68,0.0,0.0,0.0,0.0,36.6,0
0082-NSSEDJ-QLZ,5,Male,34,16,8,Service,0,Unmarried,1,100000.0,7,0,Own,Foreign,23400,19,1,0,Amex,3,1,15,1,0,0,0,0,1,0,0,12,17.6,34.24,103.8,221.52,0.0,0.0,121.4,0
0086-VMUGHD-VQ4,4,Male,22,17,0,Professional,0,Unmarried,3,38000.0,1,1,Own,Foreign,10000,28,1,1,Othe,5,1,19,0,0,0,1,0,0,0,0,10,10.2,27.52,0.0,0.0,0.0,0.0,10.2,0
0088-EOKODB-ZFH,4,Male,64,18,8,Sales,0,Married,2,50000.0,1,1,Own,Foreign,13400,18,1,0,Disc,38,1,24,1,0,0,0,0,0,1,0,72,153.6,2151.36,140.8,1939.92,0.0,0.0,294.4,1
0095-KRZMOC-CAZ,5,Male,38,14,9,Labor,0,Married,4,106000.0,0,1,Own,Domestic,18700,27,1,1,Disc,20,1,20,0,1,1,1,1,0,0,1,54,42.2,445.8,0.0,0.0,285.5,3407.16,327.7,1
0095-LVHMQG-T94,5,Female,57,12,15,Labor,0,Married,2,96000.0,2,1,Own,Domestic,26500,21,0,0,Visa,26,0,14,0,1,0,1,1,0,0,0,54,38.4,427.08,0.0,0.0,135.5,1709.58,173.9,0
0097-WZJEZS-RAN,2,Male,51,14,18,Labor,0,Unmarried,1,187000.0,0,1,Own,Foreign,80300,31,0,0,Amex,24,1,29,0,1,1,1,1,0,1,0,46,47.4,440.4,0.0,0.0,245.0,2586.48,292.4,1
0103-YALHYM-GL8,2,Male,60,12,20,Agriculture,1,Married,2,74000.0,10,1,Own,Domestic,17900,16,0,0,Visa,30,1,31,0,0,0,0,0,0,0,1,55,36.8,390.76,0.0,0.0,0.0,0.0,36.8,0
0106-WTLOLB-O43,1,Male,52,18,15,Professional,0,Married,5,108000.0,1,1,Own,Domestic,32000,28,0,0,Amex,34,0,21,0,1,1,1,1,0,1,0,69,93.6,1308.76,0.0,0.0,215.25,3504.18,308.85,1
0107-OLGMAK-RDY,4,Male,77,9,38,Crafts,1,Married,2,68000.0,0,1,Own,Domestic,14200,19,0,1,Visa,40,0,19,0,0,0,1,1,0,1,0,72,284.8,4106.76,0.0,0.0,0.0,0.0,284.8,1
0108-VXMWNR-WG6,5,Male,62,22,13,Labor,0,Unmarried,1,224000.0,8,0,Own,Domestic,78000,18,0,1,Mast,25,0,22,1,1,1,1,1,1,0,0,55,61.6,656.36,191.4,2176.76,163.5,2007.78,416.5,1
0110-CJNSND-Y6N,2,Male,23,18,0,Crafts,0,Married,4,44000.0,2,1,Own,Domestic,13600,13,1,1,Disc,4,1,18,0,0,0,0,1,1,0,0,6,12.0,19.32,0.0,0.0,0.0,0.0,12.0,0
0110-DOBQFH-3F6,1,Female,18,13,0,Labor,0,Married,4,32000.0,9,1,Own,Foreign,7900,29,1,1,Mast,0,0,19,0,0,0,0,1,0,0,1,7,11.2,11.68,0.0,0.0,0.0,0.0,11.2,0
0114-BLSPYE-A8B,3,Male,68,10,33,Service,1,Unmarried,2,74000.0,5,0,Own,Domestic,20700,35,1,1,Visa,35,0,14,0,0,0,0,1,0,1,1,68,102.8,1412.08,0.0,0.0,0.0,0.0,102.8,0
0115-BGCJZG-B08,3,Female,35,17,8,Agriculture,0,Unmarried,2,118000.0,0,0,Own,Domestic,24800,23,1,0,Visa,13,1,16,1,0,0,0,0,0,1,0,27,26.0,155.56,93.2,515.96,0.0,0.0,119.2,0
0118-ZOCCEU-UHA,1,Male,47,15,7,Sales,0,Married,6,146000.0,1,1,Own,Domestic,40200,24,0,1,Disc,22,1,25,0,0,0,0,1,0,1,0,48,31.2,309.12,0.0,0.0,0.0,0.0,31.2,0
0119-ZUYERZ-58D,4,Female,73,7,26,Labor,1,Unmarried,1,52000.0,0,1,Lease,Domestic,14500,21,0,0,Visa,34,0,23,0,0,0,1,1,0,1,0,63,80.8,998.84,0.0,0.0,0.0,0.0,80.8,0
0120-GCQSYY-BC4,4,Male,75,15,13,Sales,0,Unmarried,1,126000.0,2,0,Own,Foreign,27100,24,1,1,Amex,34,0,18,0,0,0,0,0,0,0,1,60,119.0,1400.12,0.0,0.0,0.0,0.0,119.0,0
0120-LNQRIP-L2M,2,Male,23,9,4,Professional,0,Married,3,48000.0,7,0,Own,Foreign,12100,14,0,0,Visa,5,1,21,0,0,0,1,1,0,1,0,32,45.0,298.2,0.0,0.0,0.0,0.0,45.0,0
0121-DXYYZN-UXZ,3,Male,27,17,0,Sales,0,Married,4,32000.0,0,1,Own,Domestic,7400,27,0,0,Mast,9,1,19,0,0,0,0,0,1,0,0,21,14.6,52.76,0.0,0.0,0.0,0.0,14.6,0
0123-MKOGIQ-0L8,3,Female,39,16,5,Sales,0,Married,5,166000.0,15,0,Own,Foreign,31000,34,0,0,Amex,6,1,14,1,0,0,1,0,0,0,1,19,28.0,91.44,112.0,415.32,0.0,0.0,140.0,0
0123-MVBNGR-7O5,4,Male,76,15,27,Labor,1,Unmarried,1,88000.0,0,1,Lease,Domestic,16700,30,0,1,Disc,39,0,14,0,0,0,0,0,0,1,0,71,254.4,3609.68,0.0,0.0,0.0,0.0,254.4,0
0126-NHBDFC-AX5,1,Male,67,12,12,Sales,0,Unmarried,1,76000.0,0,0,Own,Foreign,19600,26,0,1,Mast,7,0,16,0,1,0,1,1,0,1,0,21,21.0,87.52,0.0,0.0,133.75,645.96,154.75,0
0127-NJJYNR-WUP,1,Female,60,15,24,Service,0,Married,2,191000.0,4,0,Own,Foreign,86900,28,0,1,Visa,19,1,19,0,0,0,0,0,0,1,0,32,51.0,365.76,0.0,0.0,0.0,0.0,51.0,0
0130-PMBXHA-JG3,2,Female,20,15,0,Service,0,Married,4,30000.0,8,0,Own,Domestic,8600,28,0,1,Visa,2,0,20,0,0,0,1,1,0,0,0,20,26.6,112.16,0.0,0.0,0.0,0.0,26.6,0
0132-MBDKOW-6I6,3,Female,69,10,4,Sales,0,Unmarried,1,52000.0,1,0,Own,Domestic,17300,32,0,0,Othe,20,0,29,0,0,0,1,1,0,0,0,39,25.2,178.92,0.0,0.0,0.0,0.0,25.2,0
0133-TBTJGH-37J,3,Male,66,14,6,Sales,1,Married,2,22000.0,2,1,Own,Foreign,8200,27,0,0,Visa,22,0,18,1,0,0,0,0,1,0,0,51,42.2,423.44,115.0,1254.08,0.0,0.0,157.2,0
0139-XRFSOB-402,1,Male,35,16,7,Service,0,Married,2,102000.0,0,1,Own,Foreign,17400,26,0,0,Othe,8,0,15,1,1,0,0,0,1,1,1,9,22.0,57.96,119.6,173.56,130.75,251.94,272.35,0
0140-CCGMEW-LAS,5,Female,23,17,0,Labor,0,Unmarried,3,52000.0,7,1,Own,Foreign,13000,32,1,1,Amex,6,1,23,0,0,0,0,0,0,0,0,13,10.0,21.48,0.0,0.0,0.0,0.0,10.0,0
0142-QMGDVL-8WD,5,Male,30,15,5,Crafts,0,Unmarried,2,78000.0,6,1,Own,Domestic,21700,20,0,1,Visa,12,1,16,0,0,1,1,1,1,1,1,49,52.0,476.32,0.0,0.0,0.0,0.0,52.0,0
0144-UFVNEK-87S,5,Male,38,15,5,Professional,0,Married,4,170000.0,1,0,Own,Domestic,40100,34,0,1,Mast,19,1,19,0,0,0,1,1,0,1,0,51,74.4,758.72,0.0,0.0,0.0,0.0,74.4,0
0144-YKOEQZ-47I,3,Male,25,17,0,Professional,0,Married,5,132000.0,0,1,Own,Foreign,30000,36,0,1,Amex,7,0,26,0,1,0,1,1,0,0,1,18,25.4,98.88,0.0,0.0,152.25,668.82,177.65,0
0149-BQASNG-OUW,5,Male,29,10,3,Professional,0,Unmarried,1,76000.0,10,1,Own,Foreign,23600,21,0,0,Mast,8,0,15,0,0,0,0,0,0,0,1,8,29.4,54.68,0.0,0.0,0.0,0.0,29.4,0
0149-MDXYXQ-WTU,4,Female,24,11,1,Professional,0,Married,5,68000.0,3,0,Own,Foreign,15400,36,0,0,Mast,6,1,19,0,0,0,0,1,1,1,0,42,43.2,365.0,0.0,0.0,0.0,0.0,43.2,0
0151-PMYWWF-53S,2,Male,55,15,6,Sales,0,Married,2,116000.0,2,1,Own,Foreign,27800,27,1,0,Visa,7,0,20,0,0,0,1,1,0,0,0,11,19.2,49.04,0.0,0.0,0.0,0.0,19.2,0
0153-ZNOKYH-LLS,5,Male,49,11,21,Labor,0,Married,2,118000.0,0,1,Own,Foreign,31300,36,1,0,Visa,22,1,15,0,0,0,1,1,0,1,0,48,51.2,469.56,0.0,0.0,0.0,0.0,51.2,0
0155-UEFNCR-63E,2,Male,77,15,25,Labor,1,Married,2,52000.0,9,1,Own,Domestic,15700,25,0,0,Disc,40,0,25,0,0,0,1,0,0,1,0,72,183.8,2785.6,0.0,0.0,0.0,0.0,183.8,0
0159-IGIWSN-HNZ,5,Male,34,16,7,Labor,0,Married,5,94000.0,1,1,Own,Foreign,21000,24,1,1,Visa,6,1,26,0,1,0,1,1,0,0,1,9,13.4,16.08,0.0,0.0,95.25,168.66,108.65,0
0163-IJPFTN-CVD,3,Female,20,15,0,Service,0,Married,4,50000.0,4,1,Own,Domestic,7600,37,0,0,Amex,2,1,22,0,0,0,0,0,0,0,0,14,17.2,52.0,0.0,0.0,0.0,0.0,17.2,0
0172-DKBDDS-6T5,3,Female,34,14,1,Sales,0,Married,3,96000.0,7,1,Own,Domestic,28300,25,1,1,Disc,8,1,18,1,1,1,1,1,1,1,0,15,35.0,102.24,196.2,532.52,269.25,912.12,500.45,1
0172-EUUJNB-E99,2,Male,70,12,7,Sales,1,Married,2,24000.0,0,1,Own,Foreign,5200,20,0,1,Mast,33,0,17,0,0,0,0,0,1,0,1,69,67.8,934.16,0.0,0.0,0.0,0.0,67.8,0
0172-KSFHLM-V76,3,Male,47,9,9,Sales,0,Unmarried,1,144000.0,0,0,Own,Domestic,34900,30,0,0,Visa,12,1,17,0,0,0,1,1,0,1,0,34,35.4,253.76,0.0,0.0,0.0,0.0,35.4,0
0179-BHZVEV-IQQ,4,Male,36,10,7,Sales,0,Married,2,94000.0,3,1,Own,Foreign,27100,26,1,0,Visa,6,0,22,0,0,0,0,0,0,0,0,10,17.2,33.2,0.0,0.0,0.0,0.0,17.2,0
0179-CFWNMI-0VI,4,Female,20,15,0,Professional,0,Married,4,36000.0,7,1,Own,Domestic,7300,20,0,1,Mast,2,1,17,0,0,0,1,0,0,0,0,16,16.6,56.6,0.0,0.0,0.0,0.0,16.6,0
0187-MUTJIS-0D6,2,Female,26,17,3,Labor,0,Married,5,96000.0,0,1,Own,Foreign,25000,23,1,0,Disc,8,1,16,1,0,0,0,0,0,0,0,37,49.6,346.48,130.4,898.68,0.0,0.0,180.0,0
0190-RBMWAK-BEZ,4,Female,34,14,0,Sales,0,Unmarried,1,38000.0,8,1,Own,Foreign,9100,28,0,0,Disc,11,1,30,1,0,0,0,0,1,1,1,30,25.8,196.8,93.2,549.16,0.0,0.0,119.0,0
0191-AWCKTC-J5K,4,Male,49,11,17,Labor,0,Married,2,150000.0,0,1,Own,Foreign,84100,28,1,1,Amex,22,0,20,1,0,0,0,1,0,0,0,63,115.6,1444.44,133.8,1642.16,0.0,0.0,249.4,0
0191-BTHYQA-HYD,1,Female,74,16,7,Professional,0,Married,2,90000.0,1,1,Own,Domestic,23800,15,0,0,Amex,29,0,16,0,1,1,1,1,0,1,1,63,59.4,745.44,0.0,0.0,173.75,2604.36,233.15,0
0191-VKRHCM-922,1,Female,73,13,38,Service,0,Unmarried,1,218000.0,5,1,Own,Domestic,98500,25,0,1,Mast,37,0,23,0,0,0,0,0,1,1,1,71,128.4,1726.4,0.0,0.0,0.0,0.0,128.4,0
0192-MGFZIR-QEO,2,Male,30,21,0,Sales,0,Married,3,82000.0,1,0,Own,Foreign,24800,24,0,1,Mast,3,1,24,1,1,1,1,1,1,1,0,10,18.4,39.68,165.8,284.92,231.75,492.84,415.95,1
0193-RZPXXT-4EU,4,Male,71,16,15,Service,0,Married,2,192000.0,0,1,Own,Foreign,44500,21,0,1,Amex,25,0,18,0,0,0,1,1,0,0,0,53,54.0,543.84,0.0,0.0,0.0,0.0,54.0,0
0195-FXTDDT-7OJ,1,Female,47,19,15,Labor,0,Unmarried,1,185000.0,8,1,Own,Foreign,91000,27,1,1,Mast,14,0,11,0,0,0,0,1,1,1,0,28,28.8,179.4,0.0,0.0,0.0,0.0,28.8,0
0197-AMEAYR-851,5,Male,47,19,1,Sales,0,Married,2,150000.0,6,0,Own,Foreign,46100,22,0,1,Amex,15,0,19,1,0,0,0,0,1,0,0,21,24.6,113.0,105.4,413.04,0.0,0.0,130.0,0
0198-MUHWOZ-918,1,Female,26,15,1,Sales,0,Unmarried,1,46000.0,5,0,Own,Foreign,14800,19,1,0,Mast,5,1,14,0,0,0,0,0,0,0,0,8,20.6,46.72,0.0,0.0,0.0,0.0,20.6,0
0198-WSNPJB-YZP,4,Female,73,10,28,Labor,1,Married,2,18000.0,0,1,Lease,Domestic,4300,28,0,0,Othe,35,1,19,0,0,0,0,1,0,1,1,65,100.0,1248.44,0.0,0.0,0.0,0.0,100.0,0
0203-MYNNAC-CE2,3,Male,40,13,1,Sales,0,Married,4,82000.0,1,1,Own,Foreign,15500,23,1,0,Mast,7,0,23,1,0,0,0,0,0,0,0,7,15.6,17.6,87.0,118.72,0.0,0.0,102.6,0
0205-CECTHW-Z15,5,Female,27,17,1,Professional,0,Unmarried,1,42000.0,7,0,Own,Domestic,9400,17,1,1,Mast,8,0,17,1,0,0,0,1,1,0,0,18,29.0,81.68,118.8,394.12,0.0,0.0,147.8,0
0205-TMBGKK-FBU,1,Female,58,13,16,Professional,0,Unmarried,2,74000.0,8,0,Own,Domestic,18800,22,0,0,Mast,17,0,19,0,0,0,0,1,0,0,0,34,28.6,173.04,0.0,0.0,0.0,0.0,28.6,0
0206-LHHZYR-TK2,1,Male,34,19,2,Labor,0,Unmarried,1,104000.0,2,1,Own,Domestic,28300,21,1,1,Disc,15,1,19,1,0,0,0,0,0,0,1,32,21.6,135.84,99.2,597.84,0.0,0.0,120.8,0
0206-WPXVWW-W8K,1,Male,32,15,5,Service,0,Married,2,38000.0,12,1,Own,Foreign,8800,11,0,0,Amex,14,0,26,0,0,0,1,0,1,0,0,45,58.6,569.24,0.0,0.0,0.0,0.0,58.6,0
0206-XOPTXB-VSG,1,Female,62,11,9,Professional,1,Married,2,28000.0,0,1,Lease,Domestic,6300,28,0,0,Othe,35,1,18,0,0,0,0,0,0,1,0,69,107.6,1484.16,0.0,0.0,0.0,0.0,107.6,0
0207-TJRISO-IYL,5,Male,54,15,11,Sales,0,Married,2,72000.0,2,0,Own,Foreign,19000,29,1,1,Mast,4,0,27,1,1,0,0,0,1,0,0,7,12.8,23.76,108.8,138.28,74.0,124.62,195.6,0
0209-YYAIJN-RVU,4,Female,70,13,20,Labor,1,Unmarried,1,32000.0,0,0,Lease,Foreign,10500,18,1,0,Amex,7,0,22,0,0,0,0,0,0,0,0,27,24.0,119.8,0.0,0.0,0.0,0.0,24.0,0
