CustomerID,Region,Gender,Age,Education_Years,Employment_Years,Job_Category,Retired,Marital_Status,Household_Size,Household_Income,Number_Pets,Home_Owner,Car_Ownership,Car_Brand,Car_Value,Commute_Distance,Political_Party,Votes,Credit_Card,Credit_Card_Tenure,Active_Lifestyle,TV_Watching_Hours,Streaming_Svcs,Wireless_Internet,Smart_Phone,Twitter_Acct,LinkedIn_Acct,Facebook_Acct,News_Subscriber,Coupon_Redemption,Brand_Tenure_Months,Monthly_Spend_ProductA,Cumulative_Spend_ProductA,Monthly_Spend_ProductB,Cumulative_Spend_ProductB,Monthly_Spend_ProductC,Cumulative_Spend_ProductC,Total_Avg_Monthly_Spend,High_Value_Customer,Invalid_Reasons
0061-IUOHXW-6TN,1,Male,36,17,9,Professional,0,Married,4,104000.0,9,1,Nocar,Nan,0,14,0,0,Amex,18,0,15,1,0,1,1,1,1,1,0,68,107.0,1376.84,166.2,2273.52,0.0,0.0,273.2,0,Car_Value below threshold
0064-OBMVYI-GHS,4,Male,60,14,17,Professional,0,Married,2,176000.0,3,1,Nocar,Nan,0,33,1,1,Visa,24,0,18,1,1,1,1,1,0,1,0,53,41.8,396.44,222.6,2248.48,229.25,2862.9,493.65,1,Car_Value below threshold
0076-YGZXNR-QMC,5,Male,35,14,4,Professional,0,Unmarried,1,44000.0,1,0,Own,Foreign,12000,29,1,0,Disc,4,1,22,1,1,1,1,1,0,0,0,6,16.2,13.4,136.4,155.56,129.25,137.82,281.85,1,Cumulative < Monthly for ProductA
0107-IFJBTR-1JZ,3,Male,44,17,19,Crafts,0,Unmarried,1,123000.0,0,0,Nocar,Nan,0,32,1,1,Mast,21,0,14,0,0,0,0,1,1,1,0,52,64.0,658.24,0.0,0.0,0.0,0.0,64.0,0,Car_Value below threshold
0107-RHRNEN-1SR,3,Male,68,17,1,Sales,0,Unmarried,1,82000.0,6,0,Nocar,Nan,0,28,0,1,Disc,3,0,21,1,0,0,1,1,1,0,0,6,10.0,11.88,117.2,114.0,0.0,0.0,127.2,0,Car_Value below threshold; Cumulative < Monthly for ProductB
0109-POJOQC-B1R,3,Female,25,20,0,Sales,0,Unmarried,1,78000.0,0,0,Own,Domestic,15900,31,0,0,Amex,1,0,29,1,1,1,1,1,1,0,0,5,18.0,19.44,160.8,119.96,115.0,94.86,293.8,1,Cumulative < Monthly for ProductB; Cumulative < Monthly for ProductC
0118-OUCHII-GSB,1,Female,25,19,0,Sales,0,Unmarried,1,36000.0,0,1,Lease,Foreign,8100,17,0,1,Disc,3,1,20,1,1,1,1,0,0,0,0,6,14.2,13.12,126.2,94.16,102.25,119.58,242.65,0,Cumulative < Monthly for ProductA; Cumulative < Monthly for ProductB
0124-VNHDHV-64B,1,Male,59,13,6,Sales,0,Married,2,62000.0,1,1,Nocar,Nan,0,22,0,0,Disc,26,0,21,0,1,1,1,1,0,1,0,57,32.8,359.88,0.0,0.0,243.25,3179.28,276.05,1,Car_Value below threshold
0140-PXEUGB-VVZ,2,Female,31,11,6,Professional,0,Unmarried,1,60000.0,6,1,Nocar,Nan,0,27,1,1,Mast,7,1,20,1,1,0,0,0,0,0,0,10,22.6,53.32,111.0,206.48,90.5,140.16,224.1,0,Car_Value below threshold
0151-FFFOZW-1S7,5,Female,23,17,0,Sales,0,Married,3,68000.0,0,1,Own,Domestic,15900,30,1,1,Visa,1,1,14,1,1,1,1,1,0,0,0,1,8.2,1.64,148.0,29.6,168.0,40.32,324.2,1,Cumulative < Monthly for ProductA; Cumulative < Monthly for ProductB; Cumulative < Monthly for ProductC
0157-DPVLPH-QQZ,1,Female,25,17,1,Professional,0,Married,2,88000.0,8,1,Nocar,Nan,0,24,0,0,Visa,3,0,19,0,0,1,1,1,0,0,0,6,10.4,13.52,0.0,0.0,0.0,0.0,10.4,0,Car_Value below threshold
0161-ZGCKJD-1M2,4,Male,60,19,6,Professional,0,Unmarried,1,72000.0,4,0,Own,Domestic,18400,30,0,1,Visa,1,0,20,1,0,0,0,0,1,0,0,5,25.6,27.88,117.8,94.08,0.0,0.0,143.4,0,Cumulative < Monthly for ProductB
0176-WXKRJL-KXL,4,Male,18,12,0,Sales,0,Unmarried,2,38000.0,0,0,Own,Domestic,7300,26,1,0,Visa,0,0,20,0,0,0,0,0,0,1,0,0,36.0,,0.0,0.0,0.0,0.0,36.0,0,Invalid numeric value; Cumulative < Monthly for ProductA
0216-CBFAEO-2KQ,2,Female,19,14,0,Professional,0,Unmarried,3,34000.0,12,1,Lease,Foreign,9200,24,0,0,Visa,2,1,20,0,0,0,0,0,0,0,0,2,21.0,9.0,0.0,0.0,0.0,0.0,21.0,0,Cumulative < Monthly for ProductA
0216-UIFHNQ-BJY,1,Female,29,20,1,Service,0,Unmarried,1,52000.0,9,1,Nocar,Nan,0,23,0,0,Visa,7,1,20,1,0,0,0,0,1,0,0,7,18.4,35.52,111.0,112.88,0.0,0.0,129.4,0,Car_Value below threshold
0218-IHFKWL-FJ8,4,Male,54,16,11,Professional,0,Married,2,60000.0,0,1,Nocar,Nan,0,25,0,0,Disc,36,1,20,0,0,0,0,0,0,1,0,70,109.0,1550.8,0.0,0.0,0.0,0.0,109.0,0,Car_Value below threshold
0223-CJYGFZ-D4C,1,Female,30,15,4,Professional,0,Married,2,60000.0,0,1,Own,Foreign,14600,17,0,1,Disc,1,1,13,0,0,0,1,1,0,0,0,1,5.6,1.12,0.0,0.0,0.0,0.0,5.6,0,Cumulative < Monthly for ProductA
0224-HMKMEG-EJF,1,Female,18,13,0,Agriculture,0,Unmarried,1,26000.0,1,0,Nocar,Nan,0,12,1,1,Visa,0,1,23,0,0,0,1,1,0,0,1,5,25.2,26.04,0.0,0.0,0.0,0.0,25.2,0,Car_Value below threshold
0247-QOHCLZ-0YP,2,Female,44,19,9,Professional,0,Unmarried,2,190000.0,0,1,Nocar,Nan,0,24,0,0,Disc,8,0,16,0,0,0,0,0,1,0,0,20,23.0,110.12,0.0,0.0,0.0,0.0,23.0,0,Car_Value below threshold
0251-NNYDYD-ZVW,4,Male,44,15,5,Service,0,Unmarried,1,58000.0,0,0,Nocar,Nan,0,21,0,0,Disc,13,0,19,1,0,0,0,0,1,0,0,44,19.6,188.16,132.6,1088.2,0.0,0.0,152.2,0,Car_Value below threshold
0271-CQVXCL-0DH,5,Male,18,13,0,Labor,0,Unmarried,2,22000.0,3,1,Lease,Foreign,5000,31,0,0,Mast,0,1,18,0,1,1,1,1,1,0,0,5,28.2,31.8,0.0,0.0,200.25,168.18,228.45,0,Cumulative < Monthly for ProductC
0318-JLIHPT-JFQ,2,Female,22,17,0,Service,0,Unmarried,1,34000.0,2,1,Own,Domestic,6500,21,0,1,Othe,1,0,21,1,1,1,1,1,0,0,1,1,6.0,1.2,149.0,29.8,101.25,24.3,256.25,0,Cumulative < Monthly for ProductA; Cumulative < Monthly for ProductB; Cumulative < Monthly for ProductC
0325-IAWOCS-M5N,4,Female,31,16,2,Professional,0,Unmarried,3,48000.0,0,1,Own,Domestic,11600,23,1,1,Disc,2,1,15,0,0,0,1,1,0,0,0,1,7.8,1.56,0.0,0.0,0.0,0.0,7.8,0,Cumulative < Monthly for ProductA
0331-ZWQBAG-DHM,2,Male,46,18,3,Professional,0,Unmarried,1,60000.0,2,1,Nocar,Nan,0,22,1,0,Amex,6,0,20,1,1,1,1,1,0,1,0,14,18.0,70.68,150.0,391.4,227.25,749.58,395.25,1,Car_Value below threshold
0368-XOWDFM-1CR,1,Male,63,21,24,Labor,0,Unmarried,1,237000.0,0,1,Nocar,Nan,0,16,0,1,Disc,35,0,29,1,0,1,1,1,1,1,1,65,58.4,760.76,209.6,2639.48,0.0,0.0,268.0,0,Car_Value below threshold
0378-YTNFRY-YPC,5,Male,21,13,1,Crafts,0,Unmarried,1,44000.0,2,1,Nocar,Nan,0,26,0,0,Amex,3,1,25,1,1,1,1,1,0,1,1,44,69.0,601.08,197.4,1532.92,173.0,1849.92,439.4,1,Car_Value below threshold
0381-NFGAKR-AFB,1,Female,32,20,0,Sales,0,Unmarried,1,74000.0,1,1,Own,Domestic,10200,23,0,1,Disc,5,0,22,1,0,1,0,1,1,0,0,1,19.0,3.8,121.0,24.2,0.0,0.0,140.0,0,Cumulative < Monthly for ProductA; Cumulative < Monthly for ProductB
0382-PFNONT-ZC6,2,Male,46,18,11,Crafts,0,Unmarried,1,74000.0,5,1,Nocar,Nan,0,35,1,1,Amex,28,0,25,1,0,1,0,0,1,1,0,70,67.4,915.04,143.6,2064.96,0.0,0.0,211.0,0,Car_Value below threshold
0383-QZAGJU-JE8,4,Male,23,16,0,Sales,0,Married,4,40000.0,0,0,Nocar,Nan,0,22,1,1,Visa,5,0,17,0,0,0,0,0,0,0,1,14,10.2,28.8,0.0,0.0,0.0,0.0,10.2,0,Car_Value below threshold
0394-AVUMJX-JAH,3,Female,35,17,10,Agriculture,0,Unmarried,1,50000.0,2,1,Nocar,Nan,0,27,0,0,Amex,18,1,17,0,0,0,0,0,1,1,0,57,56.2,658.28,0.0,0.0,0.0,0.0,56.2,0,Car_Value below threshold
0400-DJWIIC-FEW,3,Female,18,13,0,Professional,0,Unmarried,3,28000.0,3,0,Own,Domestic,5100,32,0,0,Amex,0,1,19,1,1,1,1,1,1,1,0,6,36.8,40.2,151.8,146.24,133.0,164.7,321.6,1,Cumulative < Monthly for ProductB
0402-XMMWBM-GSH,1,Male,36,16,6,Professional,0,Unmarried,1,72000.0,13,1,Own,Foreign,16300,28,0,0,Visa,2,0,23,0,0,0,0,0,1,0,0,7,10.4,8.92,0.0,0.0,0.0,0.0,10.4,0,Cumulative < Monthly for ProductA
0405-BACHZT-AYK,4,Male,24,17,0,Professional,0,Married,3,66000.0,1,1,Own,Foreign,16800,30,0,0,Disc,6,0,22,1,1,1,0,0,1,0,0,5,23.8,30.6,167.4,130.72,127.0,107.52,318.2,1,Cumulative < Monthly for ProductB; Cumulative < Monthly for ProductC
0407-SLTYDQ-NGJ,5,Male,19,12,0,Agriculture,0,Unmarried,1,48000.0,8,1,Nocar,Nan,0,19,0,1,Disc,1,0,25,1,0,0,1,0,1,1,1,15,44.8,135.4,122.8,281.36,0.0,0.0,167.6,0,Car_Value below threshold
0409-MMPGJY-ECA,1,Female,60,12,27,Crafts,0,Unmarried,1,158000.0,2,1,Nocar,Nan,0,15,1,1,Amex,19,0,14,0,0,0,0,1,0,0,0,30,32.6,217.24,0.0,0.0,0.0,0.0,32.6,0,Car_Value below threshold
0413-SGEEWA-MBY,2,Female,19,10,1,Crafts,0,Unmarried,3,36000.0,2,1,Own,Domestic,6300,17,0,0,Othe,1,0,18,0,0,0,0,0,0,0,0,4,23.2,16.52,0.0,0.0,0.0,0.0,23.2,0,Cumulative < Monthly for ProductA
0417-AAEGSX-04Q,1,Female,28,11,5,Crafts,0,Married,5,50000.0,2,1,Own,Foreign,15100,25,1,0,Visa,4,0,28,0,1,1,1,1,1,0,0,5,7.8,5.48,0.0,0.0,193.0,171.84,200.8,0,Cumulative < Monthly for ProductA; Cumulative < Monthly for ProductC
0423-RHVQHI-61H,5,Male,65,16,3,Sales,0,Unmarried,1,84000.0,5,0,Nocar,Nan,0,33,0,1,Disc,8,1,15,0,0,0,0,0,0,1,0,35,24.2,168.36,0.0,0.0,0.0,0.0,24.2,0,Car_Value below threshold
0438-VUBTYC-L81,2,Male,66,21,25,Crafts,0,Married,4,109000.0,7,1,Nocar,Nan,0,39,0,1,Disc,40,0,20,0,1,1,1,1,0,1,1,72,455.0,6542.88,0.0,0.0,391.25,6745.5,846.25,1,Car_Value below threshold
0457-JOTWMX-KQ8,4,Female,23,10,2,Professional,0,Married,3,70000.0,0,0,Nocar,Nan,0,26,1,0,Visa,5,1,18,0,0,0,1,1,0,0,1,44,35.6,289.44,0.0,0.0,0.0,0.0,35.6,0,Car_Value below threshold
0466-PHYEYE-T4Y,3,Male,69,17,9,Professional,0,Married,2,110000.0,0,1,Nocar,Nan,0,23,1,0,Mast,24,1,25,0,0,0,0,0,0,0,1,47,33.0,301.12,0.0,0.0,0.0,0.0,33.0,0,Car_Value below threshold
0472-PSMKTM-XZ8,4,Female,24,17,0,Service,0,Married,3,56000.0,1,1,Nocar,Nan,0,27,1,0,Disc,6,1,17,0,0,0,1,1,0,0,0,31,31.6,185.84,0.0,0.0,0.0,0.0,31.6,0,Car_Value below threshold
0472-RUPTZZ-6GD,5,Male,46,16,17,Agriculture,0,Unmarried,1,112000.0,2,1,Nocar,Nan,0,26,1,0,Othe,28,1,18,0,0,0,0,0,1,0,1,67,60.2,782.68,0.0,0.0,0.0,0.0,60.2,0,Car_Value below threshold
0474-WEIVTV-8R5,1,Female,48,16,4,Sales,0,Unmarried,2,188000.0,9,1,Own,Domestic,47100,26,0,0,Disc,2,1,14,1,0,0,0,0,1,0,1,5,15.2,15.52,98.4,67.88,0.0,0.0,113.6,0,Cumulative < Monthly for ProductB
0486-MCTJYA-DRP,1,Female,77,19,12,Crafts,0,Married,2,98000.0,12,1,Nocar,Nan,0,24,0,0,Disc,12,1,18,0,1,1,1,1,0,0,0,32,29.2,183.16,0.0,0.0,161.0,1237.74,190.2,0,Car_Value below threshold
0500-JIHEQG-PCE,4,Female,26,20,0,Professional,0,Unmarried,3,162000.0,0,1,Own,Domestic,54300,17,1,0,Disc,2,1,18,1,1,0,1,0,1,0,0,5,9.0,5.76,170.8,127.56,82.25,67.02,262.05,0,Cumulative < Monthly for ProductA; Cumulative < Monthly for ProductB; Cumulative < Monthly for ProductC
0503-FRHNIK-SZY,1,Male,34,8,2,Sales,0,Unmarried,1,42000.0,2,0,Own,Foreign,10200,27,0,1,Amex,2,1,17,0,0,0,1,1,0,0,1,2,10.4,2.6,0.0,0.0,0.0,0.0,10.4,0,Cumulative < Monthly for ProductA
0533-AQBHDH-OK1,4,Male,28,11,0,Sales,0,Unmarried,3,46000.0,2,0,Nocar,Nan,0,20,0,0,Visa,4,0,20,0,0,0,0,0,0,0,0,17,27.2,104.76,0.0,0.0,0.0,0.0,27.2,0,Car_Value below threshold
0535-BTBVCI-2I2,1,Female,26,21,0,Crafts,0,Married,5,80000.0,0,1,Own,Foreign,20100,34,0,1,Othe,2,0,14,1,0,1,0,0,1,0,1,5,25.2,28.72,113.8,106.04,0.0,0.0,139.0,0,Cumulative < Monthly for ProductB
0543-DOKJRU-CVO,2,Female,41,13,7,Sales,0,Unmarried,3,90000.0,1,1,Nocar,Nan,0,20,1,1,Visa,19,0,24,1,1,1,1,1,0,0,0,58,44.2,522.16,173.0,1910.56,159.0,2093.64,376.2,1,Car_Value below threshold
0587-JKQOSC-KFF,3,Female,23,18,0,Labor,0,Married,3,94000.0,8,1,Nocar,Nan,0,24,0,0,Amex,6,0,18,0,0,0,1,1,0,0,0,11,12.2,24.44,0.0,0.0,0.0,0.0,12.2,0,Car_Value below threshold
0597-ALIUTS-I9Z,2,Male,43,10,7,Sales,0,Unmarried,1,46000.0,3,0,Lease,Domestic,10700,20,1,1,Amex,1,0,18,0,0,0,0,1,1,0,0,4,10.4,7.96,0.0,0.0,0.0,0.0,10.4,0,Cumulative < Monthly for ProductA
0609-DBWPTV-Y6C,4,Female,31,19,1,Professional,0,Unmarried,1,42000.0,7,0,Lease,Foreign,11800,22,0,1,Amex,1,1,17,1,0,0,0,1,1,0,0,2,14.8,4.0,99.0,28.84,0.0,0.0,113.8,0,Cumulative < Monthly for ProductA; Cumulative < Monthly for ProductB
0609-XPSOZF-LZ4,1,Female,50,16,10,Service,0,Married,2,96000.0,0,1,Nocar,Nan,0,9,1,1,Mast,19,1,25,0,1,1,1,1,1,0,0,43,32.2,231.28,0.0,0.0,201.25,2165.82,233.45,0,Car_Value below threshold
0616-EJFMSY-BVD,5,Female,31,15,3,Sales,0,Unmarried,4,215000.0,0,1,Own,Domestic,82800,34,1,1,Mast,2,0,26,0,0,0,1,1,0,0,1,4,20.0,16.28,0.0,0.0,0.0,0.0,20.0,0,Cumulative < Monthly for ProductA
0618-CZVRYU-54O,4,Male,55,18,15,Labor,0,Married,2,110000.0,1,0,Nocar,Nan,0,23,0,0,Disc,31,0,26,1,0,0,0,0,1,1,1,63,101.2,1240.72,123.8,1480.28,0.0,0.0,225.0,0,Car_Value below threshold
0620-EOJBKD-U7E,5,Female,33,15,2,Sales,0,Unmarried,3,66000.0,0,0,Own,Foreign,13000,16,0,0,Mast,3,1,21,0,0,0,1,1,0,0,0,5,19.8,16.24,0.0,0.0,0.0,0.0,19.8,0,Cumulative < Monthly for ProductA
0634-WVEQLF-I3N,1,Male,20,15,0,Agriculture,0,Unmarried,1,62000.0,2,1,Own,Foreign,18500,25,0,0,Othe,1,1,20,0,0,0,1,0,1,0,0,1,8.2,1.64,0.0,0.0,0.0,0.0,8.2,0,Cumulative < Monthly for ProductA
0644-DTJAYD-9JK,3,Female,39,18,6,Labor,0,Married,5,76000.0,1,1,Nocar,Nan,0,25,0,0,Disc,4,0,23,1,1,1,1,1,0,0,1,7,7.4,8.88,146.6,164.52,149.0,200.94,303.0,1,Car_Value below threshold
0664-RJXMZO-TIF,3,Female,79,19,22,Professional,1,Unmarried,1,20000.0,9,0,Nocar,Nan,0,28,0,1,Disc,6,1,21,0,0,0,0,0,1,0,0,13,12.0,33.64,0.0,0.0,0.0,0.0,12.0,0,Car_Value below threshold
0673-IKINVE-HK9,2,Female,18,11,0,Sales,0,Married,3,34000.0,0,1,Own,Domestic,5000,29,1,0,Disc,0,1,17,0,0,0,1,0,0,0,1,3,14.8,9.4,0.0,0.0,0.0,0.0,14.8,0,Cumulative < Monthly for ProductA
0675-TNFPMK-44B,1,Male,54,14,6,Sales,0,Unmarried,1,70000.0,2,0,Nocar,Nan,0,22,0,1,Mast,26,0,15,0,1,0,1,1,0,1,0,59,35.4,375.64,0.0,0.0,145.75,2132.4,181.15,0,Car_Value below threshold
0703-XBDCJR-LVF,3,Female,22,11,0,Sales,0,Married,3,62000.0,0,1,Own,Domestic,15800,28,1,0,Visa,1,0,19,0,0,0,0,0,0,0,1,1,5.4,1.08,0.0,0.0,0.0,0.0,5.4,0,Cumulative < Monthly for ProductA
0719-DZEGQX-0SD,3,Male,19,9,2,Service,0,Unmarried,1,32000.0,0,1,Nocar,Nan,0,32,0,1,Othe,1,1,20,0,0,0,0,0,0,0,0,16,22.8,56.6,0.0,0.0,0.0,0.0,22.8,0,Car_Value below threshold
0723-KWYDBK-UBB,4,Female,77,16,14,Sales,1,Unmarried,1,30000.0,2,0,Nocar,Nan,0,20,0,0,Amex,15,1,25,0,0,0,0,0,0,0,0,45,53.4,504.32,0.0,0.0,0.0,0.0,53.4,0,Car_Value below threshold
0728-LDVBOE-9Z2,2,Male,57,11,22,Labor,1,Unmarried,1,46000.0,8,1,Nocar,Nan,0,27,0,1,Visa,22,0,18,0,0,0,0,0,0,1,0,50,61.6,597.28,0.0,0.0,0.0,0.0,61.6,0,Car_Value below threshold
0741-DCRFZX-08A,1,Male,45,14,16,Service,0,Unmarried,1,104000.0,1,1,Lease,Foreign,23900,14,0,1,Mast,3,0,29,0,1,1,1,1,0,0,0,6,15.6,19.0,0.0,0.0,83.75,81.0,99.35,0,Cumulative < Monthly for ProductC
0754-HBLNOA-EAI,5,Male,21,16,0,Professional,0,Married,5,36000.0,2,1,Own,Foreign,10200,29,0,1,Amex,1,1,19,0,0,0,0,0,0,0,0,2,8.2,2.68,0.0,0.0,0.0,0.0,8.2,0,Cumulative < Monthly for ProductA
0763-HXUDUB-OK5,5,Female,38,19,12,Service,0,Unmarried,1,68000.0,0,1,Nocar,Nan,0,34,0,1,Amex,14,0,17,1,1,1,1,1,0,0,0,27,26.6,143.8,153.2,775.16,158.5,1020.54,338.3,1,Car_Value below threshold
0771-BLPWLO-QSL,3,Male,33,19,6,Service,0,Unmarried,1,150000.0,2,1,Own,Domestic,41000,31,1,1,Disc,1,0,15,1,1,1,1,1,1,0,0,1,6.8,1.36,172.2,34.44,214.25,51.42,393.25,1,Cumulative < Monthly for ProductA; Cumulative < Monthly for ProductB; Cumulative < Monthly for ProductC
0778-ADCYKA-7HH,4,Male,42,12,10,Professional,0,Unmarried,1,162000.0,1,1,Nocar,Nan,0,33,1,1,Amex,16,1,20,0,0,0,0,0,0,0,0,28,30.2,186.36,0.0,0.0,0.0,0.0,30.2,0,Car_Value below threshold
0785-LPNOQC-0C0,3,Male,40,12,10,Professional,0,Unmarried,1,126000.0,1,1,Nocar,Nan,0,21,0,1,Amex,7,1,18,0,0,0,0,0,0,1,0,17,16.0,55.92,0.0,0.0,0.0,0.0,16.0,0,Car_Value below threshold
0789-GDBZRI-CJK,1,Female,37,14,5,Professional,0,Married,3,76000.0,0,1,Nocar,Nan,0,18,0,0,Mast,12,0,23,0,0,0,1,1,0,0,0,40,37.8,317.08,0.0,0.0,0.0,0.0,37.8,0,Car_Value below threshold
0799-UCRCSR-HHJ,5,Female,21,16,0,Sales,0,Unmarried,3,54000.0,6,0,Own,Domestic,11700,29,0,0,Amex,2,1,22,0,0,0,1,1,0,0,0,2,10.0,3.96,0.0,0.0,0.0,0.0,10.0,0,Cumulative < Monthly for ProductA
0805-UWFJJK-IBP,5,Female,21,12,0,Sales,0,Unmarried,1,34000.0,3,0,Nocar,Nan,0,23,0,0,Visa,1,1,11,0,0,0,1,1,1,0,0,3,8.4,5.24,0.0,0.0,0.0,0.0,8.4,0,Car_Value below threshold; Cumulative < Monthly for ProductA
0811-CULVSA-AJ5,2,Male,33,18,2,Sales,0,Unmarried,1,120000.0,1,0,Nocar,Nan,0,23,1,0,Disc,7,1,19,0,0,0,0,0,0,0,0,13,18.2,45.96,0.0,0.0,0.0,0.0,18.2,0,Car_Value below threshold
0835-KVUHBP-8LE,5,Female,30,17,0,Sales,0,Unmarried,1,72000.0,1,1,Own,Foreign,15900,21,0,0,Disc,2,0,16,0,1,0,1,1,1,0,0,4,19.6,13.16,0.0,0.0,129.75,89.88,149.35,0,Cumulative < Monthly for ProductA; Cumulative < Monthly for ProductC
0837-BDITSL-N6A,5,Female,53,9,30,Crafts,0,Unmarried,1,141000.0,3,1,Nocar,Nan,0,31,0,1,Disc,24,1,15,0,0,0,0,0,0,1,1,53,43.2,452.8,0.0,0.0,0.0,0.0,43.2,0,Car_Value below threshold
0845-ZNPTKF-CKD,2,Male,29,15,1,Sales,0,Unmarried,1,40000.0,9,0,Own,Foreign,9100,36,1,1,Mast,1,1,19,0,0,0,1,1,0,0,0,2,9.8,2.04,0.0,0.0,0.0,0.0,9.8,0,Cumulative < Monthly for ProductA
0856-OUKUNA-PD5,3,Female,41,22,2,Sales,0,Unmarried,1,80000.0,7,0,Own,Foreign,17800,25,1,1,Amex,2,1,19,1,0,0,1,0,1,0,0,5,19.0,22.36,128.2,87.92,0.0,0.0,147.2,0,Cumulative < Monthly for ProductB
0859-KEIRTF-NSX,3,Female,37,14,5,Professional,0,Married,2,58000.0,3,1,Nocar,Nan,0,21,1,0,Mast,5,1,20,1,1,1,1,1,1,0,0,5,17.8,27.44,179.8,144.96,147.75,150.18,345.35,1,Car_Value below threshold; Cumulative < Monthly for ProductB
0874-RLIDFE-DKM,1,Female,34,10,7,Service,0,Married,3,58000.0,3,1,Nocar,Nan,0,32,1,0,Mast,3,1,22,0,0,0,0,0,0,0,1,4,11.0,11.16,0.0,0.0,0.0,0.0,11.0,0,Car_Value below threshold
0888-ATKLSV-351,4,Female,27,17,1,Sales,0,Married,5,68000.0,0,1,Nocar,Nan,0,19,1,1,Disc,1,1,11,1,1,1,1,1,1,0,0,4,21.4,16.8,209.0,118.12,194.25,153.9,424.65,1,Car_Value below threshold; Cumulative < Monthly for ProductA; Cumulative < Monthly for ProductB; Cumulative < Monthly for ProductC
